,animal_id,animal_type,outcome_type
51623,A727203,Dog,Return to Owner
51624,A395451,Dog,Return to Owner
51625,A761486,Dog,Return to Owner
51626,A711038,Cat,Transfer
51627,A733815,Dog,Transfer
51628,A713301,Cat,Transfer
51629,A742437,Dog,Adoption
51630,A700842,Dog,Return to Owner
51631,A726580,Cat,Adoption
51632,A754023,Cat,Transfer
51633,A728484,Cat,Adoption
51634,A702396,Cat,Transfer
51635,A762028,Other,Euthanasia
51636,A728845,Cat,Transfer
51637,A714765,Cat,Adoption
51638,A737389,Dog,Adoption
51639,A559625,Dog,Adoption
51640,A735786,Cat,Transfer
51641,A732770,Dog,Transfer
51642,A640185,Dog,Adoption
51643,A746165,Cat,Transfer
51644,A725784,Cat,Return to Owner
51645,A738644,Dog,Adoption
51646,A706472,Dog,Transfer
51647,A701612,Cat,Transfer
51648,A735289,Cat,Transfer
51649,A743136,Dog,Return to Owner
51650,A702904,Cat,Adoption
51651,A758106,Cat,Adoption
51652,A709062,Dog,Adoption
51653,A757504,Dog,Return to Owner
51654,A750329,Cat,Transfer
51655,A726433,Cat,Adoption
51656,A746933,Dog,Transfer
51657,A717155,Dog,Return to Owner
51658,A741493,Other,Euthanasia
51659,A700989,Cat,Transfer
51660,A733001,Dog,Return to Owner
51661,A700252,Dog,Return to Owner
51662,A704812,Dog,Return to Owner
51663,A717791,Dog,Transfer
51664,A755810,Other,Transfer
51665,A706892,Dog,Return to Owner
51666,A728948,Dog,Adoption
51667,A748376,Dog,Return to Owner
51668,A750659,Dog,Adoption
51669,A718548,Dog,Adoption
51670,A737013,Dog,Adoption
51671,A739627,Dog,Adoption
51672,A724954,Dog,Adoption
51673,A738550,Dog,Transfer
51674,A753652,Dog,Adoption
51675,A755139,Dog,Transfer
51676,A723271,Dog,Return to Owner
51677,A666390,Dog,Return to Owner
51678,A760623,Cat,Transfer
51679,A762393,Dog,Adoption
51680,A758125,Cat,Transfer
51681,A731400,Other,Euthanasia
51682,A723088,Other,Euthanasia
51683,A703867,Cat,Transfer
51684,A725634,Dog,Return to Owner
51685,A452508,Dog,Adoption
51686,A720334,Dog,Adoption
51687,A740810,Dog,Transfer
51688,A703360,Cat,Adoption
51689,A715306,Dog,Transfer
51690,A745075,Cat,Transfer
51691,A759965,Cat,Adoption
51692,A749848,Cat,Adoption
51693,A707478,Dog,Adoption
51694,A747568,Dog,Transfer
51695,A727408,Cat,Transfer
51696,A756268,Dog,Adoption
51697,A721756,Dog,Return to Owner
51698,A727781,Dog,Adoption
51699,A711646,Other,Euthanasia
51700,A701083,Cat,Transfer
