,Animal ID,Type,Outcome Type
8668,A287908,Dog,Return To Owner
8669,A323346,Cat,Adoption
8670,A326116,Dog,Return To Owner
8671,A317728,Dog,Adoption
8672,A326522,Cat,Adoption
8673,A347800,Dog,Return To Owner
8674,A344649,Cat,Adoption
8675,A343378,Dog,Adoption
8676,A264679,Dog,Return To Owner
8677,A339325,Dog,Return To Owner
8678,A391838,Dog,Adoption
8679,A388655,Dog,Euthanize
8680,A375348,Dog,Transfer
8681,A306128,Other,Euthanize
8682,A381312,Cat,Adoption
8683,A314961,Dog,Return To Owner
8684,A314990,Dog,Adoption
8685,A373451,Dog,Return To Owner
8686,A358673,Dog,Return To Owner
8687,A309436,Cat,Return To Owner
8688,A377159,Dog,Return To Owner
8689,A390527,Dog,Euthanize
8690,A341716,Cat,Adoption
8691,A327836,Dog,Adoption
8692,A380851,Cat,Adoption
8693,A324917,Cat,Return To Owner
8694,A300768,Dog,Return To Owner
8695,A322298,Dog,Return To Owner
8696,A372814,Cat,Disposal
8697,A338092,Dog,Return To Owner
8698,A371296,Dog,Euthanize
8699,A356515,Cat,Adoption
8700,A282644,Dog,Adoption
8701,A373564,Cat,Adoption
8702,A304669,Cat,Return To Owner
8703,A366891,Dog,Transfer
8704,A375275,Dog,Transfer
8705,A327760,Cat,Adoption
8706,A323977,Dog,Return To Owner
8707,A311462,Cat,Euthanize
8708,A339314,Dog,Adoption
8709,A261225,Dog,Return To Owner
8710,A362590,Dog,Euthanize
8711,A276214,Dog,Euthanize
8712,A303654,Dog,Adoption
8713,A302189,Dog,Return To Owner
8714,A338621,Dog,Euthanize
8715,A342363,Cat,Adoption
8716,A388174,Cat,Return To Owner
8717,A311984,Dog,Euthanize
8718,A363633,Cat,Return To Owner
8719,A313932,Cat,Adoption
8720,A344110,Dog,Died
8721,A312711,Dog,Return To Owner
8722,A271448,Dog,Adoption
8723,A310426,Dog,Return To Owner
8724,A345597,Dog,Return To Owner
8725,A380804,Cat,Adoption
8726,A377492,Cat,Transfer
8727,A346974,Cat,Euthanize
8728,A317562,Cat,Adoption
8729,A356531,Dog,Return To Owner
8730,A307952,Other,Euthanize
8731,A303799,Dog,Adoption
8732,A309268,Dog,Return To Owner
8733,A329847,Dog,Adoption
8734,A318306,Dog,Transfer
8735,A337592,Cat,Adoption
8736,A324317,Cat,Adoption
8737,A348033,Dog,Adoption
8738,A300955,Cat,Adoption
8739,A383521,Cat,Transfer
8740,A379724,Cat,Euthanize
8741,A391897,Dog,Return To Owner
8742,A307944,Dog,Adoption
8743,A345724,Cat,Adoption
8744,A354874,Cat,Euthanize
8745,A334059,Dog,Euthanize
8746,A354664,Dog,Return To Owner
8747,A308012,Cat,Euthanize
8748,A391519,Cat,Euthanize
8749,A360898,Cat,Adoption
8750,A339250,Dog,Adoption
8751,A369355,Other,Return To Owner
8752,A261815,Dog,Return To Owner
8753,A342681,Dog,Return To Owner
8754,A301857,Dog,Adoption
8755,A329943,Other,Euthanize
8756,A384221,Dog,Return To Owner
8757,A355955,Dog,Return To Owner
8758,A313186,Cat,Adoption
8759,A311422,Cat,Transfer
8760,A318746,Dog,Return To Owner
8761,A309038,Cat,Return To Owner
8762,A376236,Cat,Transfer
8763,A352322,Other,Adoption
8764,A347905,Dog,Adoption
8765,A311000,Dog,Return To Owner
8766,A386887,Dog,Adoption
8767,A366679,Cat,Euthanize
8768,A329692,Dog,Adoption
8769,A310246,Dog,Euthanize
8770,A308287,Cat,Return To Owner
8771,A353624,Cat,Adoption
8772,A384002,Dog,Transfer
8773,A351318,Cat,Died
8774,A384688,Dog,Euthanize
8775,A286563,Dog,Return To Owner
8776,A389445,Dog,Return To Owner
8777,A309902,Dog,Adoption
8778,A339517,Dog,Adoption
8779,A389971,Cat,Transfer
8780,A357319,Dog,Return To Owner
8781,A305345,Dog,Return To Owner
8782,A317977,Dog,Return To Owner
8783,A353571,Other,Adoption
8784,A386656,Dog,Transfer
8785,A372310,Cat,Adoption
8786,A335612,Dog,Return To Owner
8787,A311658,Dog,Return To Owner
8788,A351361,Dog,Return To Owner
8789,A380801,Cat,Adoption
8790,A260796,Dog,Return To Owner
8791,A309099,Cat,Adoption
8792,A332216,Dog,Return To Owner
8793,A391937,Cat,Euthanize
8794,A331594,Other,Adoption
8795,A319869,Cat,Adoption
8796,A317738,Dog,Return To Owner
8797,A357536,Dog,Adoption
8798,A386201,Dog,Euthanize
8799,A347912,Dog,Adoption
8800,A375170,Dog,Euthanize
8801,A327293,Cat,Transfer
8802,A338207,Cat,Adoption
8803,A384062,Dog,Return To Owner
8804,A383978,Dog,Adoption
8805,A311397,Cat,Transfer
8806,A323911,Dog,Return To Owner
8807,A331508,Cat,Euthanize
8808,A366828,Dog,Return To Owner
8809,A007773,Dog,Return To Owner
8810,A374536,Dog,Return To Owner
8811,A391108,Cat,Adoption
8812,A312742,Cat,Adoption
8813,A308892,Cat,Euthanize
8814,A326395,Cat,Died
8815,A363977,Dog,Transfer
8816,A367971,Dog,Adoption
8817,A337576,Dog,Return To Owner
8818,A356517,Cat,Adoption
8819,A366638,Dog,Euthanize
8820,A344442,Dog,Return To Owner
8821,A348190,Cat,Euthanize
8822,A362029,Dog,Return To Owner
8823,A331528,Cat,Adoption
8824,A366581,Dog,Return To Owner
8825,A345449,Dog,Return To Owner
8826,A352519,Dog,Transfer
