,city,country,id,latitude,longitude,name,state,zip
8426,Dewitt,US,MI907,42.8361,-84.5715,Adopt A Pup Animal Rescue,MI,48820
8427,Dewitt,US,MI954,42.8361,-84.5715,Moonwhisper Cat Rescue,MI,48820
8428,Lansing,US,MI24,42.7325,-84.5556,Rottweiler Rescue of Michigan Inc,MI,48909
8429,Lansing,US,MI176,42.7646,-84.5589,Capital Area Humane Society,MI,48906
8430,Lansing,US,MI132,42.7297,-84.5536,Animal Resource Network Incorporated,MI,48908
8431,Mount Pleasant,US,MI239,43.5917,-84.7971,Humane Animal Treatment Society,MI,48858
8432,Roachdale,US,IN679,39.8486,-86.7006,Creekside Animal Rescue,IN,46172
8433,Fairfield,US,IA31,41.0034,-91.9651,Noah's Ark Animal Foundation,IA,52556
8434,Fairfield,US,IA57,41.0034,-91.9651,Heavenly Pet Sanctuary,IA,52556
8435,Hamilton,US,IL434,40.3939,-91.3412,West Hancock Canine Rescue,IL,62341
8436,Elwood,US,IN677,40.2733,-85.8417,Elwood Animal Care and Control,IN,46036
8437,Taylorville,US,IL554,39.5495,-89.2979,Christian County Animal Control,IL,62568
8438,Interlochen,US,MI965,44.6402,-85.7371,Great Lakes Boxer Rescue,MI,49643
8439,Keokuk,US,IA07,40.4154,-91.3997,Keokuk Humane Society,IA,52632
8440,Keokuk,US,IA175,40.4154,-91.3997,Keokuk Animal Services,IA,52632
8441,Keokuk,US,IA207,40.4154,-91.3997,Rescue Pups,IA,52632
8442,Mattoon,US,IL185,39.4826,-88.3601,Genesis Animal Rescue,IL,61938
8443,Ithaca,US,MI712,43.3075,-84.609,Gratiot County Animal Control,MI,48847
8444,Ithaca,US,MI955,43.3075,-84.609,Gratiot Animals In Need,MI,48847
8445,Medford,US,WI335,45.14,-90.3431,"Taylor County WI Humane Society, Inc.",WI,54451
8446,Osseo,US,MI228,41.8748,-84.5541,Greater Hillsdale Humane Society,MI,49266
8447,Mason,US,MI317,42.5796,-84.4456,Ingham County Animal Control and Shelter,MI,48854
8448,Westfield,US,IN540,40.0325,-86.1373,ALL Creatures Matter Rescue,IN,46074
8449,Jackson,US,MI304,42.2778357,-84.4336095,Jackson County Animal Shelter,MI,49202
8450,Jackson,US,MI340,42.2778357,-84.4336095,Cascades Humane Society,MI,49202
8451,Jacksonville,US,IL677,39.7257,-90.241,Protecting Animal Welfare Society,IL,62650
8452,Bluffton,US,IN49,40.7427,-85.1725,Bluffton Animal Shelter,IN,46714
8453,Lake City,US,MI97,44.31100000000001,-85.2088,Missaukee Humane Society,MI,49651
8454,Tama,US,IA220,41.9716,-92.5756,Tama County Humane Society,IA,52339
8455,Noblesville,US,IN536,40.056,-86.0235,Almost Home Schnauzer and Small Dog Rescue - IN,IN,46060
8456,Shelbyville,US,IL429,39.409,-88.801,Shelby County Animal  Control Facility,IL,62565
8457,Reinbeck,US,IA54,42.3345,-92.6565,Agape Fosters,IA,50669
8458,Matthews,US,IN700,40.3886,-85.4994,Underdog Salvation,IN,46957
8459,Brownsburg,US,IN577,39.8414,-86.3934,Misty Eyes Animal Rescue & Learning Center,IN,46112
8460,Brownsburg,US,IN708,39.8414,-86.3934,Barkers & Whiskers Animal Rescue,IN,46112
8461,Greencastle,US,IN146,39.6543,-86.8535,Humane Society of Putnam County,IN,46135
8462,Pittsboro,US,IN690,39.8099,-86.4479,Ruts Rescue,IN,46167
8463,Pleasant Lake,US,MI1007,42.3994,-84.34700000000002,Reality's Chance Rescue,MI,49272
8464,Carmel,US,IN223,39.949,-86.1214,Friends For Keeps,IN,46280
8465,Fillmore,US,IN581,39.6696,-86.7533,Helping Pawz,IN,46128
8466,Danville,US,IN102,39.7612,-86.5074,Hendricks County Humane Society,IN,46122
8467,Danville,US,IN498,39.7612,-86.5074,Hendricks County Animal Control Shelter,IN,46122
8468,Antwerp,US,OH771,41.1843,-84.7302,The Dog Rescuer,OH,45813
8469,Hartford City,US,IN173,40.441,-85.3827,Blackford County Animal Shelter,IN,47348
8470,Alma,US,WI214,44.3292,-91.9173,"Wisconsin German Shorthaired Pointer Rescue, Inc.",WI,54610
8471,Farson,US,IA239,41.1741,-92.3086,Paws-N-Claws Rescue and Rehab,IA,52563
8472,Indianapolis,US,IN178,39.8992,-86.1815,Indy Great Pyrenees Rescue,IN,46260
8473,Bryan,US,OH517,41.4771,-84.5544,Williams County Humane Society,OH,43506
8474,Traverse City,US,MI390,44.7408,-85.5946,Cherryland Humane Society,MI,49686
8475,Traverse City,US,MI817,44.7408,-85.5946,Great Lakes Humane Society,MI,49684
8476,Charles City,US,IA78,43.0675,-92.6769,PAWS Humane Society,IA,50616
8477,Traverse City,US,MI829,44.7631,-85.6206,HANDDS to the Rescue,MI,49685
8478,Traverse City,US,MI945,44.7631,-85.6206,Hurlin's Parrot Rescue,MI,49685
8479,Mondovi,US,WI96,44.5564,-91.6987,Buffalo County Humane Association,WI,54755
8480,Brazil,US,IN26,39.5221,-87.1285,Clay County Humane Society,IN,47834
8481,Brazil,US,IN501,39.5221,-87.1285,"Lucky Pups Rescue, inc.",IN,47834
8482,Brazil,US,IN617,39.5221,-87.1285,For Paws Sake Canine Rescue,IN,47834
8483,Terre Haute,US,IN37,39.463,-87.3662,Terre Haute Humane Society,IN,47803
8484,Crandon,US,WI62,45.5671,-88.9019,Forest County Humane Society,WI,54520
8485,Indianapolis,US,IN16,39.9596,-86.0322,"Alliance for Responsible Pet Ownership, Inc - ARPO",IN,46038
8486,Williamston,US,MI832,42.6944,-84.2891,The Kitten Nursery,MI,48895
8487,Harrison,US,MI153,44.0423,-84.8023,Save Animals From Euthanasia (S.A.F.E.),MI,48625
8488,Harrison,US,MI403,44.0423,-84.8023,Clare County Animal Shelter,MI,48625
8489,Laingsburg,US,MI343,42.894,-84.2784,Animal Resource Center (ARC),MI,48848
8490,Laingsburg,US,MI655,42.894,-84.2784,Forever Feline Friends,MI,48848
8491,Laingsburg,US,MI922,42.894,-84.2784,New Hope Pet Rescue,MI,48848
8492,Terre Haute,US,IN408,39.4262,-87.3992,Joey's Home Senior Dog Rescue,IN,47802
8493,Terre Haute,US,IN529,39.4262,-87.3992,Dog It Dig It Rescue Inc.,IN,47802
8494,Decatur,US,IN452,40.8134,-84.9255,Lennoxs Legacy Rescue. Inc,IN,46733
8495,Decatur,US,IN673,40.8134,-84.9255,PAWS of Adams County,IN,46733
8496,Indianapolis,US,IN604,39.7939,-86.2886,Heaven After Hell Rescue,IN,46214
8497,Anderson,US,IN309,40.1106,-85.7216,Animal Protection League,IN,46011
8498,Speedway,US,IN635,39.8005,-86.2564,Speedway Animal Rescue,IN,46224
8499,Speedway,US,IN683,39.8005,-86.2564,Central Indiana Foster Cats,IN,46224
8500,Indianapolis,US,IN287,39.8655,-86.1129,Love of Labs,IN,46220
8501,Indianapolis,US,IN441,39.8655,-86.1129,"Lucky Dog Retreat Rescue, Inc.",IN,46220
8502,Indianapolis,US,IN614,39.8655,-86.1129,"Helping Paws, Inc.",IN,46220
8503,Eau Claire,US,WI57,44.7874,-91.4805,Eau Claire County Humane Association,WI,54701
8504,Anderson,US,IN35,40.1053,-85.6803,Madison County Humane Society,IN,46015
8505,Stockbridge,US,MI488,42.4719,-84.2115,Michigan Great Pyrenees Rescue,MI,49285
8506,Stockbridge,US,MI595,42.4719,-84.2115,ANIMAL BLOOD RESOURCES INTERNATIONAL,MI,49285
8507,Plainfield,US,IN497,39.7085,-86.3972,Sacred Sycamore Animal Rescue,IN,46168
8508,Plainfield,US,IN670,39.7085,-86.3972,A Critter's Chance,IN,46168
8509,Indianapolis,US,IN613,39.7458,-86.3078,Tribe Bully Rescue,IN,46231
8510,Grinnell,US,IA111,41.7309,-92.6991,Poweshiek Animal League Shelter (PALS),IA,50112
8511,Winchester,US,IL257,39.6242,-90.4617,Scott County Dog Rescue,IL,62694
8512,Eau Claire,US,WI272,44.8266,-91.5025,Northside Pet Hospital,WI,54703
8513,Grass Lake,US,MI1026,42.2685,-84.1879,Mosaic Farm,MI,49240
8514,Indianapolis,US,IN316,39.8369,-86.0495,LUV A DOG RESCUE,IN,46226
8515,Pendleton,US,IN618,40.0148,-85.7331,Friends For Paws,IN,46064
8516,Greenup,US,IL754,39.2491,-88.1638,R.U.F.F.  Rescuing Unwanted Furever Friends,IL,62428
8517,Indianapolis,US,IN517,39.7764,-86.1462,Mended Hearts Rescue,IN,46235
8518,Indianapolis,US,IN693,39.7243,-86.2518,Far Fetched Dog Rescue,IN,46241
8519,Indianapolis,US,IN508,39.7689,-86.1586,Every Dog Counts Rescue,IN,46228
8520,Indianapolis,US,IN113,39.7515,-86.1931,Indianapolis Animal Care Services,IN,46221
8521,Indianapolis,US,IN57,39.7683,-86.1581,Indiana House Rabbit Society,IN,46242
8522,Indianapolis,US,IN91,39.7683,-86.1581,Southside Animal Shelter,IN,46247
8523,Muncie,US,IN29,40.21,-85.4248,Animal Rescue Fund,IN,47304
8524,Poland,US,IN327,39.4468,-86.9487,Our Lil Bit of Heaven Animal Rescue and Sanctuary,IN,47868
8525,Indianapolis,US,IN17,39.7748,-86.1105,Cats Haven Ltd.,IN,46201
8526,Indianapolis,US,IN200,39.7748,-86.1105,FACE Low-Cost Animal Clinic,IN,46201
8527,Brownsburg,US,IN227,39.7748,-86.1105,"EARPS, Inc.",IN,46201
8528,Indianapolis,US,IN579,39.7748,-86.1105,Waldo's Muttley Crew,IN,46201
8529,Owosso,US,MI01,42.9981,-84.1634,Shiawassee Humane Society,MI,48867
8530,Muncie,US,IN107,40.2171,-85.37799999999999,Muncie Animal Care & Services,IN,47303
